username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
piapiaw03,120.0,2021-05-20,jangan lupa download uki ya #uki #ukiapp #ukiqukiq #foryoupage #fyp #fypシ #fypplease #view,6964207556738780417,https://www.tiktok.com/@piapiaw03/video/6964207556738780417?lang=en,140.0,18.0,13.0,1.0,"['uki', 'ukiapp', 'ukiqukiq', 'foryoupage', 'fyp', 'fypシ', 'fypplease', 'view']"
lextraordinaryyy,10.0,2021-05-20,download sekarang yaa!! #uki #ukiapp #foru #abc #xyzbca #fyp,6964209135860616450,https://www.tiktok.com/@lextraordinaryyy/video/6964209135860616450?lang=en,116.0,0.0,2.0,0.0,"['uki', 'ukiapp', 'foru', 'abc', 'xyzbca', 'fyp']"
chocomintsss1234,13.0,2021-05-20,jangan lupa UKI yaa😉 #uki #ukiapp #fyp #fypシ #foryourpage #fypindonesiaシ,6964200552238550274,https://www.tiktok.com/@chocomintsss1234/video/6964200552238550274?lang=en,123.0,5.0,5.0,1.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryourpage', 'fypindonesiaシ']"
ikydicky29,3652.0,2021-05-20,Hayo Penasaran Kan Sama Cerita Selanjutnya? Yuk Download UKI Sekarang #uki #ukiapp #ukiapk #fypdong #fypツ #fypp #virall,6964212392620215554,https://www.tiktok.com/@ikydicky29/video/6964212392620215554?lang=en,1540.0,3.0,211.0,105.0,"['uki', 'ukiapp', 'ukiapk', 'fypdong', 'fypツ', 'fypp', 'virall']"
ririn_anis,1110.0,2021-05-20,"asik nih punya banyak temen plus gebetan dari #uki #ukiapp , buruan download yaa",6964235246262881537,https://www.tiktok.com/@ririn_anis/video/6964235246262881537?lang=en,1075.0,8.0,8.0,0.0,"['uki', 'ukiapp']"
pptyas16,18.0,2021-05-20,#voiceeffects link UKI app di bio yah!! buruan download kita temenan disana yaa😉#uki #app,6964217648267709697,https://www.tiktok.com/@pptyas16/video/6964217648267709697?lang=en,632.0,0.0,20.0,0.0,"['voiceeffects', 'uki', 'app']"
farah.anhar,7200.0,2021-05-20,"Tanpa perlu pikir panjang, langsung gas download! #uki #ukiapp #fyp",6964342229640957186,https://www.tiktok.com/@farah.anhar/video/6964342229640957186?lang=en,101500.0,11.0,316.0,6.0,"['uki', 'ukiapp', 'fyp']"
haiakuzahra0,3.0,2021-05-20,Mau nongkrong ama temen tapi gajadi gara gara dia dapat cowo dari Uki apps😫Auto download app nya lah jangan mau kalah haha #ukiapp #uki #eumg,6964351547698416897,https://www.tiktok.com/@haiakuzahra0/video/6964351547698416897?lang=en,215.0,0.0,2.0,0.0,"['ukiapp', 'uki', 'eumg']"
auwwa_,30.0,2021-05-20,yuk download uki sekarang ketemu aku disana #uki #ukiapp #fyp #xyzbca♡ #trending,6964354579916016898,https://www.tiktok.com/@auwwa_/video/6964354579916016898?lang=en,10100.0,0.0,9.0,0.0,"['uki', 'ukiapp', 'fyp', 'xyzbca♡', 'trending']"
maurelynnm,83.0,2021-05-20,download uki apps yuk#ukiapp #uki #fypシ #forypupage,6964364872981253377,https://www.tiktok.com/@maurelynnm/video/6964364872981253377?lang=en,74.0,0.0,14.0,0.0,"['ukiapp', 'uki', 'fypシ', 'forypupage']"
