username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag,statusCode,itemInfo,shareMeta
cici_koto,2905.0,2021-06-09,"saat nya jumpa gebetan UKI, kamu juga pengen punya gebetan? yu download UKI dan temukan jodohmu disana #uki #ukiapp #fyp #fypシ",6971714572889738497,https://www.tiktok.com/@cici_koto/video/6971714572889738497?lang=en,110300.0,0.0,718.0,9.0,"['uki', 'ukiapp', 'fyp', 'fypシ']",,,
clara6047842737865,548.0,2021-06-09,"Yuk download UKI sekarang,dan kita bertemu disna #ukidownloadapp #uki #ukiappdownload",6971746534920670465,https://www.tiktok.com/@clara6047842737865/video/6971746534920670465?lang=en,1263.0,12.0,216.0,28.0,"['ukidownloadapp', 'uki', 'ukiappdownload']",,,
clara6047842737865,548.0,2021-06-09,"yang belum punya pasangan,yuk download UKI sekarang,dan temukan pasanganmu disana #ukiappdownload #ukidownloadapp #uki",6971737513270463745,https://www.tiktok.com/@clara6047842737865/video/6971737513270463745?lang=en,10300.0,13.0,215.0,25.0,"['ukiappdownload', 'ukidownloadapp', 'uki']",,,
cumiya_,1648.0,2021-06-09,kalau gk siap jatuh cinta jangan coba-coba download UKI karena bakalan nyesel 😂 #uki #ukiapp,6971736811949313282,https://www.tiktok.com/@cumiya_/video/6971736811949313282?lang=en,10100.0,14.0,64.0,27.0,"['uki', 'ukiapp']",,,
cumiya_,1648.0,2021-06-09,jangan lupa download apk UKI dan temukan pasangan idaman kamu disana 🥰#uki #ukiapp,6971795137877904642,https://www.tiktok.com/@cumiya_/video/6971795137877904642?lang=en,1008.0,0.0,1.0,1.0,"['uki', 'ukiapp']",,,
devilanri,1916.0,2021-06-09,"jangan durhaka ya ama orangtua demi pasangan kamu,mandingan Download UKI aja #uki #ukidownloadapp #ukiapp",6971736702826155266,https://www.tiktok.com/@devilanri/video/6971736702826155266?lang=en,1218.0,0.0,181.0,0.0,"['uki', 'ukidownloadapp', 'ukiapp']",,,
dianmutmainnah4,2091.0,2021-06-09,kuy download UKI sekrng #kencanonline #uki #downloaduki #ukiapp,6971795067430325505,https://www.tiktok.com/@dianmutmainnah4/video/6971795067430325505?lang=en,12000.0,0.0,2.0,0.0,"['kencanonline', 'uki', 'downloaduki', 'ukiapp']",,,
dianmutmainnah4,2091.0,2021-06-09,Yuk download uki dan kita ngobrol disana🤗🤗 #uki #ukiapp #fyp #fypdong,6971700218098126081,https://www.tiktok.com/@dianmutmainnah4/video/6971700218098126081?lang=en,14000.0,0.0,1.0,1.0,"['uki', 'ukiapp', 'fyp', 'fypdong']",,,
dviastuti,2122.0,2021-06-09,POV : izin keluar ke mama🥴jgn lupa dwonload uki temukan aku disana✅#ukiapp #uki #fyp #fypシ #fyp,6971815941919247618,https://www.tiktok.com/@dviastuti/video/6971815941919247618?lang=en,239.0,7.0,186.0,5.0,"['ukiapp', 'uki', 'fyp', 'fypシ']",,,
elisjuniart,813.0,2021-06-09,temukan teman baru kita kencan disana #uki #ukiapp,6971788114293427457,https://www.tiktok.com/@elisjuniart/video/6971788114293427457?lang=en,1274.0,2.0,185.0,1.0,"['uki', 'ukiapp']",,,
sebelasduatiga_,6290.0,2021-06-09,"Yuk cari pacar di uki, download sekarang juga di hp kalian #UKI #ukiapp #ukiappdownload",6971741941260127490,https://www.tiktok.com/@sebelasduatiga_/video/6971741941260127490?lang=en,100300.0,0.0,211.0,0.0,"['uki', 'ukiapp', 'ukiappdownload']",,,
sebelasduatiga_,6290.0,2021-06-09,"Ketemuan di uki yukk kuta seru-seruan d sna, download sekarang juga #UKI #ukiapp #ukiappdownload",6971745649951821058,https://www.tiktok.com/@sebelasduatiga_/video/6971745649951821058?lang=en,13200.0,0.0,182.0,0.0,"['uki', 'ukiapp', 'ukiappdownload']",,,
fiqruyy,1265.0,2021-06-09,yey ketemuan..yu diwbload app UkI #uki #ukiapp,6971679132199472386,https://www.tiktok.com/@fiqruyy/video/6971679132199472386?lang=en,2418.0,1.0,198.0,0.0,"['uki', 'ukiapp']",,,
fiqruyy,1265.0,2021-06-09,knp selalu salah sih 🥺 Yu temukan pasangan kalian di apk UKi #uki #ukiapp,6971639544294722818,https://www.tiktok.com/@fiqruyy/video/6971639544294722818?lang=en,1929.0,0.0,213.0,32.0,"['uki', 'ukiapp']",,,
frxcyl,8382.0,2021-06-09,Hallo guys jangan lupa download aplikasi UKI mari kita bertemu disana! #ukiapp #uki,6971654124341349633,https://www.tiktok.com/@frxcyl/video/6971654124341349633?lang=en,10600.0,25.0,311.0,39.0,"['ukiapp', 'uki']",,,
frxcyl,8382.0,2021-06-09,"Huft, dia berbohong:) seru seruan yuk dengan men-Download aplikasi UKI sekarang juga! #ukiapp #uki",6971695968991350018,https://www.tiktok.com/@frxcyl/video/6971695968991350018?lang=en,11500.0,25.0,338.0,44.0,"['ukiapp', 'uki']",,,
haydeev24,1447.0,2021-06-09,"batal ketemu deh, gimana ya caranya?... #uki #ukiapp #ukiappdownload #ba",6971793932841667842,https://www.tiktok.com/@haydeev24/video/6971793932841667842?lang=en,11200.0,63.0,591.0,4.0,"['uki', 'ukiapp', 'ukiappdownload', 'ba']",,,
haydeev24,1447.0,2021-06-09,aku harus berbohong demi kencan ku 😔 #uki #ukiapp #ukiappdownload #BounceBackID,6971796694660943106,https://www.tiktok.com/@haydeev24/video/6971796694660943106?lang=en,15500.0,77.0,784.0,4.0,"['uki', 'ukiapp', 'ukiappdownload', 'BounceBackID']",,,
hii_samm,216.0,2021-06-09,Kelanjutan nya seperti apa ya? Jangan lupa download UKI di app/playstore kamu! #uki #ukiapp,6971818106821856514,https://www.tiktok.com/@hii_samm/video/6971818106821856514?lang=en,3940.0,0.0,4.0,2.0,"['uki', 'ukiapp']",,,
indraiskandarnew26,9649.0,2021-06-09,Diem diem aku akan menyelinap keluar menemuimu #uki #ukiapp,6971692519260310785,https://www.tiktok.com/@indraiskandarnew26/video/6971692519260310785?lang=en,113600.0,82.0,292.0,19.0,"['uki', 'ukiapp']",,,
indraiskandarnew26,9649.0,2021-06-09,Diem diem aku akan menyelinap keluar menemuimu #uki #ukiapp,6971692519260310785,https://www.tiktok.com/@indraiskandarnew26/video/6971692519260310785?lang=en,113600.0,82.0,292.0,19.0,"['uki', 'ukiapp']",,,
indraiskandarnew26,9649.0,2021-06-09,"Saat makanpun aku selalu chat dia diuki, aku jatuh cinta #uki #ukiapp",6971678681320246530,https://www.tiktok.com/@indraiskandarnew26/video/6971678681320246530?lang=en,108600.0,162.0,288.0,19.0,"['uki', 'ukiapp']",,,
indraiskandarnew26,9649.0,2021-06-08,"Ayah dan ibi sudah mulai mencurigai bahwa aku sedang berkencan, gak enak kali jadi jomblo. Ada uki #uki #ukiapp #fyp #drama",6971351529680915713,https://www.tiktok.com/@indraiskandarnew26/video/6971351529680915713?lang=en,102600.0,156.0,259.0,40.0,"['uki', 'ukiapp', 'fyp', 'drama']",,,
