DATE (Month/Day/Year),USERNAME Tik-Tok (@username) ,FOLLOWERS (.K) ,link video,DESCRIPTION ,"PV(20210614 18.30pm)",REMARK
06/13/2021,@memelahap,92.9k,https://vt.tiktok.com/ZSJQBn7Lv/,beberapa Tanda Orang Lain tidak menyukai Anda. Ingin Tanda/Tips Lainnya? download uki dan temui aku disana #uki #ukiapp https://uki.booyah.cc/mobile/,,
06/13/2021,@watirahma021_,150,https://vt.tiktok.com/ZSJQD1S3P/,"tanda orang tidak menyukaimu, dan jangan lupa download uki
https://uki.booyah.cc/mobile/
#uki #ukiapp",,
06/13/2021,@kepodehh29,45,https://vt.tiktok.com/ZSJQD5vRw/,"Cara mengetahui perkataan pria! Unduh UKI
 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni",,
06/13/2021,@mputrimeput,1665,https://vt.tiktok.com/ZSJQ6emum/,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@triagustinnurrullita,70.8k,https://vt.tiktok.com/ZSJQStKdu/,"kode cewek !! Kalau belum cobain aja langsung download, dijamin seruuu💜 https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp",,
06/13/2021,@tiusicaagnes,475,https://vt.tiktok.com/ZSJQMb1xp/,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@freaklines27 ,22.0k,https://vt.tiktok.com/ZSJQhNF3e/,Want to try this tips but didnt have a partner? Download Uki so you can find a new partner in here https://uki.booyah.cc/mobile/ #uki #ukiapp,,
06/13/2021,@yudiharians1,16.5k,https://vt.tiktok.com/ZSJQB77Gn/,Yuk buruan download aplikasi UKI https://uki.booyah.cc/mobile/ #uki #ukiapp kita ketemu disana ya,,
06/13/2021,@yurayurari10,420,https://vt.tiktok.com/ZSJQAEAVH/,Nah yg ini buat cewe girls. Makanya cari yg pasti aja di #Uki #Ukiapp https://uki.booyah.cc/mobile/,,
06/13/2021,@kennie92,42.1k,https://vt.tiktok.com/ZSJQAL8gL/,Apa arti sesungguhnya ucapan pria  https://uki.booyah.cc/mobile/ #uki #ukiapp,,
